state,county,fips,pop_tier,region,date_checked,source_reports_covid,source_reports,dashboard,testing,cases,population,deaths,releases,news_reports,releases_policy,breakdown,breakdown_parole_violations,breakdown_minor_offenses,breakdown_bail,breakdown_time_left,breakdown_vulnerable,breakdown_other,legal_filing,capacity,wave_1_pop_reduction,wave_1_pop_prior,nyt_latest_inmate_population,nyt_total_inmate_cases,nyt_total_inmate_deaths,nyt_total_officer_cases,nyt_total_officer_deaths,vera_pop_first,vera_pop_feb20,vera_pop_may20,bjs_pop,bjs_capacity,pop_coalesce
Florida,Hillsborough County,12057,1,2,2020-08-03,N,N,N,N,N,N,N,N,Y,Policy,Y,N,N,N,N,N,Y,N,,164,,,344,0,149,0,2794,2799,2346,3032,5011,2799
Florida,Palm Beach County,12099,1,2,2020-08-03,N,N,N,N,N,N,N,N,N,,,,,,,,,N,,,,,333,0,176,4,1651,1651,1481,1907,3164,1651
Florida,Pinellas County,12103,1,2,2020-07-28,N,N,N,N,N,N,N,N,N,,,,,,,,,N,3000,,,,250,1,0,0,2985,2985,2154,2938,2915,2985
Florida,Baker County,12003,3,2,2020-07-28,N,N,N,N,N,N,N,N,N,,,,,,,,,N,500,,,,,,,,490,490,510,488,512,490
Florida,Broward County,12011,1,2,2020-07-28,N,N,N,N,N,N,N,N,Y,Releases,Y,N,N,N,N,N,Y,N,1538,2,,,381,2,327,2,3513,3522,3014,3644,5144,3522
Florida,Clay County,12019,2,2,2020-12-02,N,Y,N,N,N,Y,N,N,N,,,,,,,,,N,480,,,,228,0,39,0,397,410,369,,,410
Florida,Flagler County,12035,2,2,2020-07-28,N,N,N,N,N,N,N,N,N,,,,,,,,,N,400,,,,10,0,15,0,172,186,164,,,186
Florida,Gadsden County,12039,3,2,2020-12-02,N,N,N,N,N,N,N,N,N,,,,,,,,,N,157,,,,,,,,498,498,121,,,498
Florida,Jefferson County,12065,3,2,2020-07-28,N,N,N,N,N,N,N,N,N,,,,,,,,,N,,,,,,,,,52,51,37,,,51
Florida,Martin County,12085,2,2,2020-07-28,N,N,N,N,N,N,N,N,N,,,,,,,,,N,,,,,,,,,449,449,384,478,696,449
