"state","county","pop_tier","region","date_checked","source_reports","dashboard","testing","cases","population","deaths","releases","news_reports","releases_policy","breakdown","breakdown_parole_violations","breakdown_minor_offenses","breakdown_bail","breakdown_time_left","breakdown_vulnerable","breakdown_other","legal_filing","capacity","wave_1_pop_reduction","wave_1_pop_prior"
"Florida","Hillsborough County","1","2",2020-08-03,"N","N","N","N","N","N","N","Y","Policy","Y","N","N","N","N","N","Y","N",,164,
"Florida","Palm Beach County","1","2",2020-08-03,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Florida","Pinellas County","1","2",2020-07-28,"N","N","N","N","N","N","N","N",,,,,,,,,,3000,,
"Florida","Baker County","3","2",2020-07-28,"N","N","N","N","N","N","N","N",,,,,,,,,,500,,
"Florida","Broward County","1","2",2020-07-28,"N","N","N","N","N","N","N","Y","Releases","Y","N","N","N","N","N","Y","N",1538,2,
"Florida","Clay County","2","2",2020-12-02,"Y","N","N","N","Y","N","N","N",,,,,,,,,,480,,
"Florida","Flagler County","2","2",2020-07-28,"N","N","N","N","N","N","N","N",,,,,,,,,,400,,
"Florida","Gadsden County","3","2",2020-12-02,"N","N","N","N","N","N","N","N",,,,,,,,,,157,,
"Florida","Jefferson County","3","2",2020-07-28,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Florida","Martin County","2","2",2020-07-28,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Florida","Miami-Dade County","1","2",2020-07-28,"N","N","N","N","N","N","N","Y","Policy","Y","N","N","N","N","N","Y","N",,18,
"Florida","Orange County","1","2",2020-08-03,"Y","N","N","N","Y","N","N","Y","Releases","Y","N","N","N","N","N","Y","N",592,300,
"Florida","Osceola County","2","2",2020-08-03,"Y","N","N","N","Y","N","N","N",,,,,,,,,,,,
"Florida","Pasco County","1","2",2020-08-03,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Florida","Polk County","1","2",2020-08-03,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Florida","Sumter County","2","2",2020-08-03,"Y","N","N","N","Y","N","N","N",,,,,,,,,,521,,
"Florida","Taylor County","3","2",2020-08-03,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Florida","Wakulla County","3","2",2020-08-03,"N","N","N","N","N","N","N","N",,,,,,,,,,350,,
"Louisiana","East Baton Rouge Parish","2","3",2020-10-01,"N","N","N","N","N","N","N","Y","Mix","Y","N","Y","Y","N","N","N","N",1600,344,1600
"Louisiana","Jefferson Parish","2","3",2020-08-25,"N","N","N","N","N","N","N","N",,,,,,,,,,1193,,
