Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
Filename: icljpjj20t05.csv,,,,,,,,,,,,,,,,,
"Table 5. Inmate population change and inmate and staff COVID-19 testing and cases in the 50 largest local jail jurisdictions, March-June 2020",,,,,,,,,,,,,,,,,
"Report title: Impact of COVID-19 on the Local Jail Population, January-June 2020",,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Census of Jails, 2019; and Annual Survey of Jails, 2020",,,,,,,,,,,,,,,,,
"Authors: Todd D. Minton, Zhen Zeng, Ph.D., and Laura M. Maruschak, BJS Statisticians",,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,
Date of version: 3/10/2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Table 5. Inmate population change and inmate and staff COVID-19 testing and cases in the 50 largest local jail jurisdictions, March-June 2020",,,,,,,,,,,,,,,,,
,,Inmates in custody/a,,,,,Inmate tests/b,,,,,,,,Staff tests/c,,
,,Number in 2019,Number in 2020,Percent change,,,Total tests conducted,Percent of admissions that were tested,,,Number of positive tests,Percent of tests that were positive,,,Number who tested positive,Percent who tested positive,
U.S. total/d,,"734,500","549,100",-25.2,%,,"215,360",9,%,,"24,550",11.4,%,,"10,850",4.7,%
50 largest local jail jurisdictions,,,,,,,,,,,,,,,,,
,Estimated/d,"180,700","134,200",-25.7,%,,"88,900",18.7,%,,"12,670",14.3,%,,"4,570",6.7,%
,Reported,"173,966","125,949",:,,,"77,087",:,,,"11,471",,:,,"4,277",:,
"Los Angeles County, CA",,"17,385","12,045",-30.7,,,"13,197",57.8,,,"2,640",20,,,292,6.3,
"Harris County, TX",,"8,883","8,517",-4.1,,,"4,401",22.4,,,"1,120",25.4,,,366,6.9,
"Maricopa County, AZ",,"7,873","4,501",-42.8,,,"2,837",13.3,,,804,28.3,,,131,5.5,
"New York City, NY",,"7,341","3,927",-46.5,,, / ,/,,,/,/,,,"1,432",14.7,
