Name,Cases,Location
Fresno County jail,"3,985","Fresno, Calif."
Harris County jail,"3,805","Houston, Texas"
Substance Abuse Treatment Facility and State Prison,"3,647","Corcoran, Calif."
Avenal State Prison,"3,640","Avenal, Calif."
Soledad prison,"3,074","Soledad, Calif."
California Men’s Colony prison,"2,999","San Luis Obispo, Calif."
San Quentin State Prison,"2,682","San Quentin, Calif."
Cook County Jail,"2,669","Chicago, Ill."
Charles Egeler Reception & Guidance Center prison,"2,618","Jackson, Mich."
High Desert State Prison,"2,607","Susanville, Calif."
California Rehabilitation Center prison,"2,490","Norco, Calif."
Marion Correctional Institution,"2,490","Marion, Ohio"
Pleasant Valley State Prison,"2,420","Coalinga, Calif."
Carson City Correctional Facility,"2,388","Carson City, Mich."
Wasco State Prison,"2,301","Wasco, Calif."
Central Michigan Correctional Facility,"2,301","St. Louis, Mich."
Mule Creek State Prison,"2,255","Ione, Calif."
Beaumont federal prison complex,"2,245","Beaumont, Texas"
Arizona State Prison Complex – Tucson,"2,242","Tucson, Ariz."
Los Angeles County state prison,"2,153","Lancaster, Calif."
Fort Dix federal prison,"2,118","Fort Dix, N.J."
California Institution for Men,"2,086","Chino, Calif."
Chuckawalla Valley State Prison,"2,065","Blythe, Calif."
California Correctional Institution,"2,030","Tehachapi, Calif."
Eyman Complex prison,"2,023","Florence, Ariz."
Chippewa Correctional Facility,"2,023","Kinross, Mich."
Arizona State Prison Complex – Yuma,"2,010","San Luis, Ariz."
Valley State Prison,"2,010","Chowchilla, Calif."
Ironwood State Prison,"1,950","Blythe, Calif."
Victorville federal prison complex,"1,913","Victorville, Calif."
Airway Heights Corrections Center,"1,886","Airway Heights, Wash."
Pickaway Correctional Institution,"1,855","Scioto Township, Ohio"
Corcoran State Prison,"1,810","Corcoran, Calif."
Utah State Prison,"1,764","Draper, Utah"
Sterling Correctional Center,"1,762","Sterling, Colo."
Ouachita River Unit prison,"1,721","Malvern, Ark."
Butner federal prison complex,"1,695","Butner, N.C."
Hutchinson Correctional Facility,"1,665","Hutchinson, Kan."
California Correctional Center,"1,661","Susanville, Calif."
Gus Harrison Correctional Facility,"1,656","Adrian, Mich."
Sierra Conservation Center prison,"1,654","Jamestown, Calif."
Bexar County jail,"1,643","San Antonio, Texas"
Folsom prison,"1,587","Represa, Calif."
North County jail,"1,564","Castaic, Calif."
North Kern State Prison,"1,548","Delano, Calif."
State Correctional Institution at Dallas,"1,538","Dallas, Pa."
Richard J. Donovan Correctional Facility,"1,529","San Diego, Calif."
Calipatria State Prison,"1,488","Calipatria, Calif."
Columbia Correctional Institution,"1,482","Lake City, Fla."
French Robertson Unit prison,"1,465","Abilene, Texas"
Coffield Unit prison,"1,454","Tennessee Colony, Texas"
Kern Valley State Prison,"1,452","Delano, Calif."
Kinross Correctional Facility,"1,447","Kincheloe, Mich."
Cooper Street Correctional Facility,"1,441","Jackson, Mich."
Correctional Reception Center,"1,437","Orient, Ohio"
Clark County jail,"1,428","Las Vegas, Nev."
Idaho State Correctional Center,"1,418","Kuna, Idaho"
Trousdale Turner Correctional Center,"1,413","Hartsville, Tenn."
Vacaville state prison,"1,400","Vacaville, Calif."
Terre Haute federal prison complex,"1,395","Terre Haute, Ind."
Seagoville federal prison,"1,386","Seagoville, Texas"
South Woods State Prison,"1,379","Cumberland County, N.J."
Florence federal prison complex,"1,355","Florence, Colo."
Minnesota Correctional Facility – Faribault,"1,353","Faribault, Minn."
El Paso County jail,"1,345","Colorado Springs, Colo."
Eastern Kentucky Correctional Complex,"1,343","Morgan County, Ky."
Racine Correctional Institution/Sturtevant Transitional Facility,"1,316","Sturtevant, Wis."
Pollock federal prison complex,"1,315","Pollock, La."
Arizona State Prison Complex – Lewis,"1,310","Buckeye, Ariz."
Eastern Correctional Institution,"1,310","Westover, Md."
Twin Towers jail,"1,302","Los Angeles, Calif."
California Health Care Facility prison,"1,300","Stockton, Calif."
Forrest City federal prison complex,"1,296","Forrest City, Ark."
Stafford Creek Corrections Center,"1,293","Aberdeen, Wash."
"California State Prison, Centinela","1,291","Imperial, Calif."
Salinas Valley State Prison,"1,285","Soledad, Calif."
Saginaw Correctional facility,"1,278","Saginaw, Mich."
State Correctional Institution at Cambridge Springs,"1,271","Cambridge Springs, Pa."
Lawrence Correctional Center,"1,256","Sumner, Ill."
South Central Correctional Facility,"1,253","Clifton, Tenn."
Tucson federal prison complex,"1,245","Tucson, Ariz."
California City Correctional Facility,"1,235","California City, Calif."
Cummins Unit prison,"1,219","Grady, Ark."
Muskegon Correctional Facility,"1,216","Muskegon, Mich."
El Dorado Correctional Facility,"1,208","Prospect Township, Kan."
Minnesota Correctional Facility – Stillwater,"1,198","Stillwater, Minn."
Lansing Correctional Facility,"1,196","Lansing, Kan."
Bent County Correctional Facility,"1,186","Las Animas, Colo."
Van Cise-Simonet Detention Center,"1,181","Denver, Colo."
Neal Unit prison,"1,174","Amarillo, Texas"
Washington State Penitentiary,"1,167","Walla Walla, Wash."
Arizona State Prison Complex – Douglas,"1,163","Douglas, Ariz."
Oshkosh Correctional Institution,"1,162","Oshkosh, Wis."
Northwest Correctional Complex,"1,149","Tiptonville, Tenn."
Alfred D. Hughes Unit prison,"1,147","Gatesville, Texas"
Lowell Correctional Institution,"1,139","Ocala, Fla."
Coleman federal prison complex,"1,138","Sumterville, Fla."
Allenwood federal prison complex,"1,133","Allenwood, Pa."
Danville Correctional Center,"1,124","Danville, Ill."
Earnest C. Brooks Correctional Facility,"1,120","Muskegon Heights, Mich."
Metropolitan Detention Center,"1,120","Albuquerque, N.M."
Lompoc federal prison complex,"1,120","Lompoc, Calif."
Dallas County jail,"1,119","Dallas, Texas"
Central Utah Correctional Facility,"1,108","Gunnison, Utah"
Central California Women’s Facility,"1,098","Chowchilla, Calif."
Estelle Unit prison,"1,094","Huntsville, Texas"
Luther Luckett Correctional Complex,"1,089","LaGrange, Ky."
G. Robert Cotton Correctional Facility,"1,086","Jackson, Mich."
Bellamy Creek Correctional Facility,"1,085","Ionia, Mich."
Washington Corrections Center,"1,081","Shelton, Wash."
Michigan Reformatory,"1,080","Ionia, Mich."
State Correctional Institution at Forest,"1,076","Marienville, Pa."
Wrightsville Unit prison,"1,074","Wrightsville, Ark."
Northern Nevada Correctional Center,"1,071","Carson City, Nev."
York County jail,"1,064","York, Pa."
"Eastern Reception, Diagnostic and Correctional Center","1,063","Bonne Terre, Mo."
Arkansas Valley Correctional Facility,"1,060","Ordway, Colo."
Vacaville state medical prison,"1,056","Vacaville, Calif."
Fox Lake Correctional Institution,"1,053","Fox Lake, Wis."
Elkton federal prison,"1,051","Lisbon, Ohio"
Pinckneyville Correctional Center,"1,044","Pinckneyville, Ill."
Minnesota Correctional Facility – St. Cloud,"1,043","St. Cloud, Minn."
Goose Creek Correctional Center,"1,041","Wasilla, Alaska"
Northpoint Training Center prison,"1,040","Burgin, Ky."
Suwannee Correctional Institution,"1,038","Live Oak, Fla."
Marquette Branch Prison,"1,035","Marquette, Mich."
State Correctional Institution at Waymart,"1,035","Waymart, Pa."
Kettle Moraine Correctional Institution,"1,035","Plymouth, Wis."
Bledsoe County Correctional Complex,"1,033","Pikeville, Tenn."
State Correctional Institution at Somerset,"1,031","Somerset, Pa."
Men's Central Jail,"1,031","Los Angeles, Calif."
Mayo Correctional Institution Annex,"1,028","Mayo, Fla."
Santa Rosa Correctional Institution,"1,026","Milton, Fla."
Anamosa State Penitentiary,"1,023","Anamosa, Iowa"
Cuyahoga County jail,"1,023","Cleveland, Ohio"
Sedgwick County jail,"1,014","Wichita, Kansas"
Dixon Correctional Institute,999,"Jackson, La."
East Arkansas Regional Unit prison,967,"Marianna, Ark."
Saint Louis Correctional Facility,964,"Saint Louis, Mich."
Dodge Correctional Institution,958,"Waupun, Wis."
Saguaro Correctional Center,956,"Eloy, Ariz."
Crowley County Correctional Facility,953,"Olney Springs, Colo."
